day,a,a_score,b,b_score,gap,verdict,reason
sat,Ezra Collective,7.82,Maruja,6.59,1.23,Ezra Collective,clear on the scores
sat,Gilla Band,8.22,Maribou State (Live),6.97,1.25,Gilla Band,clear on the scores
sat,Ezra Collective,7.82,Greentea Peng,6.51,1.31,Ezra Collective,clear on the scores
sat,Maruja,6.59,Dan Shake,5.28,1.31,Maruja,clear on the scores
sat,Dan Shake,5.28,The Wild Geeze - Comedy Cabaret,3.96,1.32,Dan Shake,clear on the scores
sat,Joy Orbison,7.19,Jyoty,5.83,1.36,Joy Orbison,clear on the scores
sat,DJ Nobu,7.19,Jyoty,5.83,1.36,DJ Nobu,clear on the scores
sat,Ezra Collective,7.82,Sprints,6.35,1.47,Ezra Collective,clear on the scores
sat,Joy Orbison,7.19,Or:la,5.72,1.47,Joy Orbison,clear on the scores
sat,DJ Nobu,7.19,Or:la,5.72,1.47,DJ Nobu,clear on the scores
sat,The Avalanches (DJ Set),7.38,Jyoty,5.83,1.55,The Avalanches (DJ Set),clear on the scores
sat,The Avalanches (DJ Set),7.38,Or:la,5.72,1.66,The Avalanches (DJ Set),clear on the scores
sat,Joy Orbison,7.19,Say She She,5.32,1.87,Joy Orbison,clear on the scores
sat,DJ Nobu,7.19,Say She She,5.32,1.87,DJ Nobu,clear on the scores
sat,Maribou State (Live),6.97,Moving Still,5.07,1.9,Maribou State (Live),clear on the scores
sat,Gilla Band,8.22,THUMPER,6.2,2.02,Gilla Band,clear on the scores
sat,The Avalanches (DJ Set),7.38,Say She She,5.32,2.06,The Avalanches (DJ Set),clear on the scores
sat,Maruja,6.59,Bicurious,4.42,2.17,Maruja,clear on the scores
sat,Sprints,6.35,The Wild Geeze - Comedy Cabaret,3.96,2.39,Sprints,clear on the scores
sat,Greentea Peng,6.51,The Wild Geeze - Comedy Cabaret,3.96,2.55,Greentea Peng,clear on the scores
sat,Maruja,6.59,The Wild Geeze - Comedy Cabaret,3.96,2.63,Maruja,clear on the scores
sat,Hot 8 Brass Band,7.19,David Keenan,4.32,2.87,Hot 8 Brass Band,clear on the scores
sat,Gilla Band,8.22,Moving Still,5.07,3.15,Gilla Band,clear on the scores
sat,Hot 8 Brass Band,7.19,The Wild Geeze - Comedy Cabaret,3.96,3.23,Hot 8 Brass Band,clear on the scores
sat,Ezra Collective,7.82,The Wild Geeze - Comedy Cabaret,3.96,3.86,Ezra Collective,clear on the scores
sat,W.I.T.C.H.,8.19,David Keenan,4.32,3.87,W.I.T.C.H.,clear on the scores
sun,Kean Kavanagh,4.42,Gabrielle Kwarteng,4.32,0.1,Kean Kavanagh,too close to call — Irish tiebreak
sun,Bazza Ranks,4.42,Gabrielle Kwarteng,4.32,0.1,Bazza Ranks,too close to call — Irish tiebreak
sun,Prosumer,6.54,Kate Nash,6.39,0.15,Prosumer,effectively a coin flip
sun,Kean Kavanagh,4.42,BIIRD,4.27,0.15,Kean Kavanagh,effectively a coin flip
sun,Moonchild Sanelly,6.71,Prosumer,6.54,0.17,Moonchild Sanelly,effectively a coin flip
sun,Altern-8,7.15,Disclosure (DJ),6.96,0.19,Altern-8,effectively a coin flip
sun,King Kong Company,6.23,Eats Everything,6.04,0.19,King Kong Company,too close to call — Irish tiebreak
sun,Soda Blonde,4.72,Getdown Services,4.51,0.21,Soda Blonde,too close to call — Irish tiebreak
sun,Moonchild Sanelly,6.71,Kate Nash,6.39,0.32,Moonchild Sanelly,clear on the scores
sun,Hot Chip (DJ Set),7.5,Altern-8,7.15,0.35,Hot Chip (DJ Set),clear on the scores
sun,Playback Presents: Stop Making Sense,4.83,Kean Kavanagh,4.42,0.41,Playback Presents: Stop Making Sense,clear on the scores
sun,Hot Chip (DJ Set),7.5,Disclosure (DJ),6.96,0.54,Hot Chip (DJ Set),clear on the scores
sun,Damien Dempsey,7.26,Moonchild Sanelly,6.71,0.55,Damien Dempsey,clear on the scores
sun,Playback Presents: Stop Making Sense,4.83,BIIRD,4.27,0.56,Playback Presents: Stop Making Sense,clear on the scores
sun,Anna von Hausswolff,7.47,Ms Dynamite,6.81,0.66,Anna von Hausswolff,clear on the scores
sun,SOAK,5.53,Playback Presents: Stop Making Sense,4.83,0.7,SOAK,clear on the scores
sun,Damien Dempsey,7.26,Prosumer,6.54,0.72,Damien Dempsey,clear on the scores
sun,Soichi Terada (Live),7.93,Self Esteem,7.17,0.76,Soichi Terada (Live),clear on the scores
sun,The Dare (DJ Set),5.13,Anz b2b Jio,4.32,0.81,The Dare (DJ Set),clear on the scores
